Name;Quantity
C_10u;17
C_8p;2
C_100n;15
R_0R;5
R_1k;10
C_220n;1
FL2015-4L;1
R_10k;4
R_470k;1
R_2M;1
R_30k;1
C_1uF;1
C_~;4
R_1.5k;1
R_22k;1
R_50k;1
R_21k;1
R_2.2k;1
R_~;4
R_4.7k;1
R_240R;1
C_10n;3
C_100p;1
R_47k;1
R_8.2k;2
R_100k;1
R_1;1
R_10;1
C_200pC0G;1
C_220u;2
